S,pi_optimal,V_optimal,pi_early_iteration,V_early_iteration
1,1462,-6.466577216,1097,-15.89422227
2,1462,-8.066577216,1097,-17.49422227
3,1462,-9.566577216,1097,-18.99422227
4,1462,-11.06657722,1097,-20.49422227
5,1462,-12.66657722,1097,-22.09422227
6,1462,-14.16657722,1097,-23.59422227
7,1462,-15.66657722,1097,-25.09422227
8,1462,-17.26657722,1097,-26.69422227
9,1462,-18.76657722,1097,-28.19422227
10,1462,-20.26657722,1097,-29.69422227
11,1462,-21.86657722,1097,-31.29422227
12,1462,-23.36657722,1097,-32.79422227
13,1462,-24.86657722,1097,-34.29422227
14,1462,-26.46657722,1097,-35.89422227
15,1462,-27.96657722,1097,-37.39422227
16,1462,-29.46657722,1097,-38.89422227
17,1462,-31.06657722,1097,-40.49422227
18,1462,-32.56657722,1097,-41.99422227
19,1462,-34.16657722,1097,-43.59422227
20,1462,-35.66657722,1097,-45.09422227
21,1462,-37.16657722,1097,-46.59422227
22,1462,-38.76657722,1097,-48.19422227
23,1462,-40.26657722,1097,-49.69422227
24,1462,-41.76657722,1097,-51.19422227
25,1462,-43.36657722,1097,-52.79422227
26,1462,-44.86657722,1097,-54.29422227
27,1462,-46.36657722,1097,-55.79422227
28,1462,-47.96657722,1097,-57.39422227
29,1462,-49.46657722,1097,-58.89422227
30,1462,-50.96657722,1097,-60.39422227
31,1462,-52.56657722,1097,-61.99422227
32,1462,-54.06657722,1097,-63.49422227
33,1462,-55.56657722,1097,-64.99422227
34,1462,-57.16657722,1097,-66.59422227
35,1462,-58.66657722,1097,-68.09422227
36,1462,-60.16657722,1097,-69.59422227
37,1462,-61.76657722,1097,-71.19422227
38,1462,-63.26657722,1097,-72.69422227
39,1462,-64.76657722,1097,-74.19422227
40,1462,-66.36657722,1097,-75.79422227
41,1462,-67.86657722,1097,-77.29422227
42,1462,-69.36657722,1097,-78.79422227
43,1462,-70.96657722,1097,-80.39422227
44,1462,-72.46657722,1097,-81.89422227
45,1462,-73.96657722,1097,-83.39422227
46,1462,-75.56657722,1097,-84.99422227
47,1462,-77.06657722,1097,-86.49422227
48,1462,-78.56657722,1097,-87.99422227
49,1462,-80.16657722,1097,-89.59422227
50,1462,-81.66657722,1097,-91.09422227
51,1462,-83.16657722,1097,-92.59422227
52,1462,-84.76657722,1097,-94.19422227
53,1462,-86.26657722,1097,-95.69422227
54,1462,-87.76657722,1097,-97.19422227
55,1462,-89.36657722,1097,-98.79422227
56,1462,-90.86657722,1097,-100.2942223
57,1462,-92.46657722,1097,-101.8942223
58,1462,-93.96657722,1097,-103.3942223
59,1462,-95.46657722,1097,-104.8942223
60,1462,-97.06657722,1097,-106.4942223
61,1462,-98.56657722,1097,-107.9942223
62,1462,-100.0665772,1097,-109.4942223
63,1462,-101.6665772,1097,-111.0942223
64,1462,-103.1665772,1097,-112.5942223
65,1462,-104.6665772,1097,-114.0942223
66,1462,-106.2665772,1097,-115.6942223
67,1462,-107.7665772,1097,-117.1942223
68,1462,-109.2665772,1097,-118.6942223
69,1462,-110.8665772,1097,-120.2942223
70,1462,-112.3665772,1097,-121.7942223
71,1462,-113.8665772,1097,-123.2942223
72,1462,-115.4665772,1097,-124.8942223
73,1462,-116.9665772,1097,-126.3942223
74,1462,-118.4665772,1097,-127.8942223
75,1462,-120.0665772,1097,-129.4942223
76,1462,-121.5665772,1097,-130.9942223
77,1462,-123.0665772,1097,-132.4942223
78,1462,-124.6665772,1097,-134.0942223
79,1462,-126.1665772,1097,-135.5942223
80,1462,-127.6665772,1097,-137.0942223
81,1462,-129.2665772,1097,-138.6942223
82,1462,-130.7665772,1097,-140.1942223
83,1462,-132.2665772,1097,-141.6942223
84,1462,-133.8665772,1097,-143.2942223
85,1462,-135.3665772,1097,-144.7942223
86,1462,-136.8665772,1097,-146.2942223
87,1462,-138.4665772,1097,-147.8942223
88,1462,-139.9665772,1097,-149.3942223
89,1462,-141.4665772,1097,-150.8942223
90,1462,-143.0665772,1097,-152.4942223
91,1462,-144.5665772,1097,-153.9942223
92,1462,-145.9665772,1097,-155.3942223
93,1462,-147.2665772,1097,-156.6942223
94,1462,-148.5665772,1097,-157.9942223
